Run,Date,Start time,End/run time,Shifter,PDS expert,Active Endpoints,# triggers,type,Configuration,Issues/Comments,,,,,,,,,,,,,,,,,,,,,,
27100,14/06/2024,18:25,60 s,lperez,,"104,105,107",,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: burst, burst_count: 250, pulse_bias_percent_270nm: 4000. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. runtime 60 s. 1 ms daq window.",Trying to see several wvfs,,,,,,,,,,,,,,,,,,,,,,
27101,14/06/2024,18:37,60 s,lperez,,"104,105,107",,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: single, pulse_bias_percent_270nm: 4000. pulse_bias_percent_367nm: 2000. Ch_mask: 784. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. runtime 60 s. 1 ms daq window.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27116,17/06/2024,17:05,90 s,lperez,,109,,LED,"LED run. APA2. Tests 270nm: SSP_config. pulse_mode: single, pulse_bias_percent_270nm: 3090. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. 10Hz daq trigger rate. runtime 90 s.",Scan from 3090 to 4090. BAD FRECUENCY --> need 6250Hz ,,,,,,,,,,,,,,,,,,,,,,
27117,17/06/2024,17:07,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3190,,,,,,,,,,,,,,,,,,,,,,,
27118,17/06/2024,17:12,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3290,,,,,,,,,,,,,,,,,,,,,,,
27120,17/06/2024,17:23,90 s,lperez,,109,,LED,"LED run. APA2. Tests 270nm: SSP_config. pulse_mode: single, pulse_bias_percent_270nm: 3090. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 6250Hz. 10Hz daq trigger rate. runtime 90 s.",Scan from 3090 to 4090. Wrong frecuency in EliSA message.,,,,,,,,,,,,,,,,,,,,,,
27121,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3190,,,,,,,,,,,,,,,,,,,,,,,
27122,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3290,,,,,,,,,,,,,,,,,,,,,,,
27123,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3390,,,,,,,,,,,,,,,,,,,,,,,
27124,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3490,,,,,,,,,,,,,,,,,,,,,,,
27125,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3590,,,,,,,,,,,,,,,,,,,,,,,
27126,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3690,,,,,,,,,,,,,,,,,,,,,,,
27127,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3790,,,,,,,,,,,,,,,,,,,,,,,
27128,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3890,,,,,,,,,,,,,,,,,,,,,,,
27129,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3990,,,,,,,,,,,,,,,,,,,,,,,
27130,17/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 4090,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APAs34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Changing to 4.2 and update the jsons file broke the apa34 conf. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26936,12/06/2024,,90 s,lperez,,112.113,,LED,"Calibration Run. Bias DCS:30V. Trigger ad-hoc 0x7 set to 20Hz. 10Hz daq trigger rate. runtime 90 s. Tests 270nm: SSP_config. mask_channel:1, ticks_width:1, Pulse_bias_percent_270nm: 400",CENTER LED --> Scan to define final percentage value (400 to 1500 in steps of 200) NO DATA AGAIN,,,,,,,,,,,,,,,,,,,,,,
26937,12/06/2024,,90 s,lperez,,112.113,,LED,Pulse_bias_percent_270nm: 600,NO DATA AGAIN,,,,,,,,,,,,,,,,,,,,,,
26938,12/06/2024,,90 s,lperez,,112.113,,LED,Pulse_bias_percent_270nm: 800,NO DATA AGAIN,,,,,,,,,,,,,,,,,,,,,,
26939,12/06/2024,,90 s,lperez,,112.113,,LED,Pulse_bias_percent_270nm: 1000,NO DATA AGAIN,,,,,,,,,,,,,,,,,,,,,,
26941,12/06/2024,,90 s,lperez,,112.113,,LED,Pulse_bias_percent_270nm: 1200,NO DATA AGAIN,,,,,,,,,,,,,,,,,,,,,,
26944,12/06/2024,,90 s,lperez,,112.113,,LED,Pulse_bias_percent_270nm: 1400,NO DATA AGAIN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27027,,,4.25min,marroyav,,"111,112,113",,TEST,"APAs 34, Cosmics, ",,,,,,,,,,,,,,,,,,,,,,,
,Changes in seed to correct a typo --> solved errors in APA34 configurations. THRESHOLD set back to 9000 and redout is back!! 🥳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27089,14/06/2024,17:32,90 s,lperez,,"111,112,113",,LED,"Calibration Run. Bias DCS:30V. Trigger ad-hoc 0x7 set to 6250Hz. 10Hz daq trigger rate. runtime 90 s. Tests 270nm: SSP_config. mask_channel:1, ticks_width:1, Pulse_bias_percent_270nm: 400",CENTER LED --> Scan to define final percentage value (400 to 2400 in steps of 200),,,,,,,,,,,,,,,,,,,,,,
27090,14/06/2024,17:36,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 600,,,,,,,,,,,,,,,,,,,,,,,
27091,14/06/2024,17:39,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 800,,,,,,,,,,,,,,,,,,,,,,,
27092,14/06/2024,17:42,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1000,,,,,,,,,,,,,,,,,,,,,,,
27093,14/06/2024,17:46,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1200,,,,,,,,,,,,,,,,,,,,,,,
27094,14/06/2024,17:52,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1400,,,,,,,,,,,,,,,,,,,,,,,
27095,14/06/2024,17:54,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1600,,,,,,,,,,,,,,,,,,,,,,,
27096,14/06/2024,17:56,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1800,,,,,,,,,,,,,,,,,,,,,,,
27097,14/06/2024,17:59,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 2000,,,,,,,,,,,,,,,,,,,,,,,
27098,14/06/2024,18:03,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 2200,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27112,17/06/2024,,60 s,marroyav,,"104,105,107",,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: single, pulse_bias_percent_270nm: 3000. pulse_bias_percent_367nm: 2000. Ch_mask: . pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. runtime 60 s. 1 ms daq window.",ls,,,,,,,,,,,,,,,,,,,,,,
27114,17/06/2024,,60 s,marroyav,,"104,105,107",,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: single, pulse_bias_percent_270nm: 4000. pulse_bias_percent_367nm: 2000. Ch_mask: 784. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. runtime 60 s. 1 ms daq window.",ls,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27210,17/06/2024,,180s,marroyav,,"104,105,107",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:16, ticks_width:5, Pulse_bias_percent_270nm:4095. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",,,,,,,,,,,,,,,,,,,,,,,
27211,17/06/2024,,180s,marroyav,,"104,105,107",,LED,4045,,,,,,,,,,,,,,,,,,,,,,,
27212,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3995,,,,,,,,,,,,,,,,,,,,,,,
27213,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3945,,,,,,,,,,,,,,,,,,,,,,,
27214,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3895,,,,,,,,,,,,,,,,,,,,,,,
27215,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3845,,,,,,,,,,,,,,,,,,,,,,,
27216,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3795,,,,,,,,,,,,,,,,,,,,,,,
27217,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3745,,,,,,,,,,,,,,,,,,,,,,,
27218,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3695,,,,,,,,,,,,,,,,,,,,,,,
27219,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3645,,,,,,,,,,,,,,,,,,,,,,,
27220,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3595,,,,,,,,,,,,,,,,,,,,,,,
27221,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3545,,,,,,,,,,,,,,,,,,,,,,,
27222,17/06/2024,,180s,marroyav,,"104,105,107",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:16, ticks_width:5, Pulse_bias_percent_270nm:3045. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",,,,,,,,,,,,,,,,,,,,,,,
27223,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3545,,,,,,,,,,,,,,,,,,,,,,,
27224,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3445,,,,,,,,,,,,,,,,,,,,,,,
27225,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3345,,,,,,,,,,,,,,,,,,,,,,,
27226,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3245,,,,,,,,,,,,,,,,,,,,,,,
27227,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3145,,,,,,,,,,,,,,,,,,,,,,,
27228,17/06/2024,,180s,marroyav,,"104,105,107",,LED,3045,,,,,,,,,,,,,,,,,,,,,,,
27229,17/06/2024,,180s,marroyav,,"104,105,107",,LED,2945,,,,,,,,,,,,,,,,,,,,,,,
27231,17/06/2024,,180s,marroyav,,"104,105,107",,LED,2845,,,,,,,,,,,,,,,,,,,,,,,
27232,17/06/2024,,180s,marroyav,,"104,105,107",,LED,2745,,,,,,,,,,,,,,,,,,,,,,,
27233,17/06/2024,,180s,marroyav,,"104,105,107",,LED,2645,,,,,,,,,,,,,,,,,,,,,,,
27234,17/06/2024,,180s,marroyav,,"104,105,107",,LED,2545,,,,,,,,,,,,,,,,,,,,,,,
27241,17/06/2024,,180s,marroyav,,"104,105,107",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:16, ticks_width:5, Pulse_bias_percent_270nm:2500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",These runs lack proper alignment with DAQ,,,,,,,,,,,,,,,,,,,,,,
27242,17/06/2024,,180s,marroyav,,"104,105,107",,LED,2000,,,,,,,,,,,,,,,,,,,,,,,
27243,17/06/2024,,180s,marroyav,,"104,105,107",,LED,1500,,,,,,,,,,,,,,,,,,,,,,,
27244,17/06/2024,,180s,marroyav,,"104,105,107",,LED,1000,,,,,,,,,,,,,,,,,,,,,,,
27245,17/06/2024,,180s,marroyav,,"104,105,107",,LED,500,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27288,18/06/2024,,180s,marroyav,,"104,105,107",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:16, ticks_width:5, Pulse_bias_percent_270nm:2500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",,,,,,,,,,,,,,,,,,,,,,,
27290,18/06/2024,,180s,marroyav,,"104,105,107",,LED,2000,,,,,,,,,,,,,,,,,,,,,,,
27291,18/06/2024,,180s,marroyav,,"104,105,107",,LED,1500,,,,,,,,,,,,,,,,,,,,,,,
27292,18/06/2024,,180s,marroyav,,"104,105,107",,LED,1000,,,,,,,,,,,,,,,,,,,,,,,
27293,18/06/2024,,180s,marroyav,,"104,105,107",,LED,500,,,,,,,,,,,,,,,,,,,,,,,
,"Calibration Runs for APAs 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27562,30/06/2024,,120s,marroyav,,"111,112,113",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:1, ticks_width:1, Pulse_bias_percent_270nm:1400. Trigger_ad-hoc 0x7:6250Hz. 20Hz daq triger_rate.",Was this really at 6250 Hz ?,,,,,,,,,,,,,,,,,,,,,,
27563,30/06/2024,,120s,marroyav,,"111,112,113",,LED,1600,,,,,,,,,,,,,,,,,,,,,,,
27564,30/06/2024,,120s,marroyav,,"111,112,113",,LED,1800,,,,,,,,,,,,,,,,,,,,,,,
27565,30/06/2024,,120s,marroyav,,"111,112,113",,LED,2000,,,,,,,,,,,,,,,,,,,,,,,
27566,30/06/2024,,120s,marroyav,,"111,112,113",,LED,1400 Mask 12,,,,,,,,,,,,,,,,,,,,,,,
27567,30/06/2024,,120s,marroyav,,"111,112,113",,LED,1600 mask 12,,,,,,,,,,,,,,,,,,,,,,,
27568,30/06/2024,,120s,marroyav,,"111,112,113",,LED,1800 mask 12,,,,,,,,,,,,,,,,,,,,,,,
27569,30/06/2024,,120s,marroyav,,"111,112,113",,LED,2000 mask 12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Runs APAs 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27617,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:16, ticks_width:5, Pulse_bias_percent_270nm:1500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27618,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,1700,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27619,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,1900,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27620,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,2100,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27621,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,2300,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27622,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,2500,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27623,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:12, ticks_width:5, Pulse_bias_percent_270nm:1500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Configuration: global_configs/pds_daphne/np04_DAPHNE_APA12_SSP.json",full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27624,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,1700,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27625,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,1900,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27626,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,2100,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27627,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,2300,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
27628,7/3/2024,,180s,marroyav,,"104,105,107,109",,LED,2500,full daq window for APA1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tests with Ionization LASER,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27629,03/07/2024,10:20,,wdallawa,acervera,all,,LASER,test run with laser sutter closed,no data in APA4,,,,,,,,,,,,,,,,,,,,,,
27632,03/07/2024,11:21,,wdallawa,acervera,"109,111,112,113",,LASER,test run with laser sutter closed. Running with no TPC and no APA1 to lower down the data size and analize faster,firmware changed in 111. All OK,,,,,,,,,,,,,,,,,,,,,,
27633,03/07/2024,11:38,,wdallawa,acervera,"109,111,112,113",10,LASER,test run with laser sutter OPEN. ,,,,,,,,,,,,,,,,,,,,,,,
27634,03/07/2024,,,wdallawa,acervera,"109,111,112,113",10,LASER,test run with laser sutter CLOSED. ,,,,,,,,,,,,,,,,,,,,,,,
27637,03/07/2024,13:57,,wcampane,acervera,"109,111,112,113",14,LASER,test run with green laser ponting between two profiles at the top,,,,,,,,,,,,,,,,,,,,,,,
27638,03/07/2024,14:03,,wcampane,acervera,"109,111,112,113",10,LASER,test run with green laser ponting at one profile,,,,,,,,,,,,,,,,,,,,,,,
27639,03/07/2024,14:09,,wcampane,acervera,"109,111,112,113",10,LASER,test run with green laser ponting at one profile with more reflexions inside,,,,,,,,,,,,,,,,,,,,,,,
27640,03/07/2024,14:22,,wcampane,acervera,"109,111,112,113",10,LASER,test run all lasers off,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test Calibration Runs APAs 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27739,7/5/2024,15:10,180s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:16, ticks_width:5, Pulse_bias_percent_270nm:2500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",central LED,,,,,,,,,,,,,,,,,,,,,,
27747,7/5/2024,16:07,180s,acervera,,"104,105,107,109",,LED,channel mask 768,leds 367,,,,,,,,,,,,,,,,,,,,,,
27752,7/5/2024,16:29,180s,lperez,,"104,105,107",,LED,channel mask 2. APA1 only,bottom led,,,,,,,,,,,,,,,,,,,,,,
27754,7/5/2024,16:33,180s,lperez,,109,,LED,channel mask 2. APA2 only,bottom led. It seems its doing self trigger,,,,,,,,,,,,,,,,,,,,,,
27758,7/5/2024,17:11,180s,lperez,,"104,105,107,109",,LED,channel mask 2,,,,,,,,,,,,,,,,,,,,,,,
27762,7/5/2024,17:38,180s,acervera,,"104,105,107,109",,LED,channel mask 50,diagonal leds (all 270 nm),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test Calibration Runs APAs 1 and 2 (with larger width),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27803,08/07/2024,10:07,180 s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:10, Pulse_bias_percent_270nm:2500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",more signal in top modules but still not enough ,,,,,,,,,,,,,,,,,,,,,,
27805,08/07/2024,10:41,180 s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:20, Pulse_bias_percent_270nm:2500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",sufficient light in top modules,,,,,,,,,,,,,,,,,,,,,,
27808,08/07/2024,11:08,180 s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:20, Pulse_bias_percent_270nm:1000. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",no light at all,,,,,,,,,,,,,,,,,,,,,,
27810,08/07/2024,11:27,180 s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:20, Pulse_bias_percent_270nm:1500. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",too much ligh in some channels,,,,,,,,,,,,,,,,,,,,,,
27814,08/07/2024,11:48,180 s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:20, Pulse_bias_percent_270nm:1200. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.","OK, reasonable light in the channels with higher illumination",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Runs APAs 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27818,08/07/2024,12:12,180 s,acervera,,"104,105,107,109",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:20, Pulse_bias_percent_270nm:1200. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate.",No log messages beeing copied,,,,,,,,,,,,,,,,,,,,,,
27820,08/07/2024,12:17,180 s,acervera,,"104,105,107,109",,LED,1400,,,,,,,,,,,,,,,,,,,,,,,
27822,08/07/2024,12:22,180 s,acervera,,"104,105,107,109",,LED,1600,,,,,,,,,,,,,,,,,,,,,,,
27823,08/07/2024,12:27,180 s,acervera,,"104,105,107,109",,LED,1800,,,,,,,,,,,,,,,,,,,,,,,
27824,08/07/2024,12:32,180 s,acervera,,"104,105,107,109",,LED,2000,,,,,,,,,,,,,,,,,,,,,,,
27825,08/07/2024,12:37,180 s,acervera,,"104,105,107,109",,LED,2200,,,,,,,,,,,,,,,,,,,,,,,
27826,08/07/2024,12:42,180 s,acervera,,"104,105,107,109",,LED,2400,,,,,,,,,,,,,,,,,,,,,,,
27827,08/07/2024,12:47,180 s,acervera,,"104,105,107,109",,LED,2600,,,,,,,,,,,,,,,,,,,,,,,
27828,08/07/2024,13:34,180 s,acervera,,"104,105,107,109",,LED,2800,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noise runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27833,08/07/2024,14:34,180 s,acervera,,"104,105,107,109",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Bias OV=-0.5 volts,"we still see cosmics. BAD run, forgot to run recrete_configurations after seed. ",,,,,,,,,,,,,,,,,,,,,,
27834,08/07/2024,14:39,180 s,acervera,,"111,112,113",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Bias OV=-0.5 volts,"we still see cosmics. BAD run, forgot to run recrete_configurations after seed. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27859,08/07/2024,16:15,180 s,acervera,,"111,112,113",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Bias OV=-2 volts,"we still see cosmics. BAD run, forgot to run recrete_configurations after seed. ",,,,,,,,,,,,,,,,,,,,,,
27862,08/07/2024,16:20,180 s,acervera,,"104,105,107,109",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Bias OV=-2 volts,"we still see cosmics. BAD run, forgot to run recrete_configurations after seed. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27873,08/07/2024,16:57,180 s,acervera,,"111,112,113",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Bias OV=-0.5 volts,very few (~50) wfs per channel,,,,,,,,,,,,,,,,,,,,,,
27875,08/07/2024,17:10,180 s,acervera,,"111,112,113",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:5000Hz. 20Hz daq triger_rate. Bias OV=-0.5 volts,,,,,,,,,,,,,,,,,,,,,,,
27876,08/07/2024,17:17,180 s,acervera,,"104,105,107,109",,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:5000Hz. 20Hz daq triger_rate. Bias OV=-0.5 volts,"Problems with felix 26, Rate to high",,,,,,,,,,,,,,,,,,,,,,
27877,08/07/2024,17:40,240 s,acervera,,"104,105,107,109",4792,,Noise Run. LED bias DCS:0V. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. Bias OV=-0.5 volts,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OVERVOLTAGE+INTENSITY Calibration Runs APAs 12. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. pulse_mode:single, mask_channel:50, ticks_width:20, Pulse_bias_percent_270nm:1400-2800. Trigger_ad-hoc 0x7:20Hz. 20Hz daq triger_rate. ",,,,,,,,,,,,,,,,,,,,,,,
27898,09/07/2024,10:20,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2_FBK_3.5. 1400,PDE 40%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
27899,09/07/2024,10:24,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2_FBK_3.5. 1800,PDE 40%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
27900,09/07/2024,10:29,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2_FBK_3.5. 2200,PDE 40%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
27921,09/07/2024,12:03,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2_FBK_3.5. 2800. Notice this run was taken after all others in APAs 34,PDE 40%. LEDS on in diagonal,otro mas a 3200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27901,09/07/2024,10:34,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2.5_FBK_4.5. 2800.  Run with OV = HPK_2.5_FBK_4.5 by mistake,PDE 45%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
27902,09/07/2024,10:40,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2.5_FBK_4.5. 1400,PDE 45%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
27903,09/07/2024,10:45,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2.5_FBK_4.5. 1800,PDE 45%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
27904,09/07/2024,10:50,180 s,acervera,,"104,105,107,109",,LED,OV = HPK_2.5_FBK_4.5. 2200,PDE 45%. LEDS on in diagonal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
